Parameter,Value,Unit,CitationKey,ReportNote,,
Battery chemistry,LFP,,SpiWik:25,Cite [SpiWik:25] - justifies LFP charging model and cycle life assumptions,,
Battery voltage,60,V,SpiBat:25,Cite [SpiBat:25] - used in capacity derivation and operator specs table,,
Battery capacity,3.4,kWh,Derived: 60V x 57Ah,Cite [SpiBat:25,,
Battery range per swap,80,km,SpiBat:25,Cite [SpiBat:25] - contextual; not directly used in model,,
Swap time,2,min,EV24:25,Cite [EV24:25] - used in Simulink docking station service time,,
Swap price,3.5,USD,Stated assumption,UNVERIFIED ASSUMPTION - $3.5/day is a stated assumption based on approximately  2 swaps/day at a rate slighlty aboive East African operators;sensitivity range $2.00-$6.00/day,,
Pricing model,Pay-per-energy,,SpiTec:25,Cite [SpiTec:25] - Spiro uses SoC-based pay-per-energy billing; $5/day is an unverified proxy for Nigeria (see Daily subscription fee row); text label only; NOT used as numeric input in economic_model.m,,
Swaps per day per station,180,,Stated assumption,State explicitly as assumption - Lagos data unavailable; cite [SpiWik:25] for network context,,
Swaps per bike per day,2,,SpiSem:23,Cite [SpiSem:23] - supports swaps/day assumption,,
Subscribers per station,90,,Stated assumption,STATED ASSUMPTION - 90 active riders per station;not ised in report,,
Docking cabinets,5,units,NgeJunRod:24,Cite [NgeJunRod:24] - baseline from supervisor paper; varied +-25% in sensitivity analysis,,
Cost per docking cabinet,3500,USD,TycBat:24,Cite [TycBat:24] - mid-range of $2500-$5000; state as assumption,,
PV system rated power,37000,Wp,CrossBound:24,CORRECTED - full station system is 37 kWp consistent with Ampersand/CrossBoundary pilot spec [CrossBound:24]; previous value of 235 Wp was a single panel spec not a system spec,,
PV installed cost,1.3,USD/Wp,IRENA:16 + IRENA:24,CONSERVATIVE UPPER BOUND - IRENA (2016) reported $1.30/Wp for utility-scale SSA [IRENA:16]; IRENA (2024) reports SSA small-commercial (~37kWp) realistically $0.80-1.10/Wp [IRENA:24]; retaining $1.30/Wp as deliberate conservative upper bound; $0.80/Wp lower bound tested in sensitivity analysis; applies equally to Nigeria context,,
ESS size,43,kWh,NgeJunRod:24,Cite [NgeJunRod:24] - baseline stationary buffer ESS from supervisor paper; varied in sensitivity analysis,,
ESS cost,300,USD/kWh,GSLEne:26,Cite [GSLEne:26] - mid-range of published $280-580/kWh for commercial LFP,,
Battery inventory count,135,units,Derived: subscribers_per_station x 1.5 buffer ratio,CORRECTED - 135 batteries = 90 active riders x 1.5 buffer ratio; buffer accounts for batteries in transit, charging, and maintenance rotation; consistent with operational swap station practice; major CAPEX item
Installation overhead,0.2,fraction,Stated assumption,"State as assumption - 70% of equipment for omission,wiring,land securing anti theft panels and dust and heat mitigation",,
Annual OM rate,0.025,fraction of CAPEX,DomEle:26,Cite [DomEle:26] - industry standard 2.5% fixed O&M for BESS per year,,
Annual staff cost,3000,USD/year,Stated assumption,State as assumption - 2 staff x $1500/yr; higher than Rwanda reflecting Lagos cost of living,,
Discount rate,0.1,fraction,CATF:24,Cite [CATF:24] - 10% adopted as DFI-blended concessional rate; CATF:24 reports Western Africa WACC at similar range to Eastern Africa (18-22%) for commercial debt; 10% justified by development-backed funding structure; sensitivity sweep [0.10 0.12 0.15 0.18 0.20],,
Project lifetime,20,years,Stated assumption,State as assumption - consistent with IEC and IEA solar PV lifetime standards,,
Panel degradation rate,0.005,fraction/year,Stated assumption,State as assumption - 0.5%/yr efficiency loss; standard monocrystalline value,,
Battery cycle life EFC,3000,,,,,
