Parameter,Value,Unit,CitationKey,ReportNote,,,,
Battery chemistry,LFP,,ZemBat:25,Cite [ZemBat:25] - justifies LFP charging model and cycle life assumptions,,,,
Battery voltage,60,V,Stated assumption,No publicly disclosed pack voltage but 60v is consistent with sub 3kw commerciall e-motorcylcle platforms assembled in East Africa,,,,
Battery capacity,2.7,kWh,Stated assumption,Assumed 2.70kwh (60V *45Ah) 45Ah a consistent charge rating for this voltage class ad is fairly conservative compared to the (30-52Wh/km)) expended for a 80km range,,,,
Battery range per swap,65,km,ZemEne:26 + ZemHow:23,Cite both - midpoint of 50-80km range; state midpoint assumption in report,,,,
Swap time,2,min,ZemEne:26,Cite [ZemEne:26] - used in Simulink docking station service time,,,,
Swap price,1.65,USD,ZemEne:26,Cite [PCTech:24] - UGX 6000 per swap confirmed by PCTechMagazine Jul 2024; revenue = swap_price x swaps_per_day x 365,,,,
Pricing model,Pay-per-swap,,PCTech:24 + ZemHow:23,Cite [PCTech:24] and [ZemHow:23] - pay-per-energy-consumed confirmed; text label only; NOT used as numeric input in economic_model.m,,,,
Swaps per day per station,44,,ZemAbt:26,CORRECTED from 67 - previous value used 2025 expansion targets (2000 bikes / 60 stations). Corrected to 2023 actuals: 660 active riders / 30 stations = 22 riders/station x 2 swaps/rider/day = 44 swaps/day [ZemAbt:26],,,,
Swaps per bike per day,2,,SpiSem:23,Cite [SpiSem:23] - industry standard for boda boda operators; 2 swaps/rider/day consistent with ~65km range per swap and typical daily distance,,,,
Subscribers per station,22,,ZemAbt:26,CORRECTED from 33 - 660 active riders / 30 stations = 22 riders/station [ZemAbt:26]; used only as derived check; NOT used in revenue formula (revenue uses swap_price x swaps_per_day),,,,
Docking cabinets,3,units,Stated assumption,CORRECTED from 5 - scaled to battery inventory. Ampersand confirmed 5 cabinets for 150 batteries (CrossBound:24). Proportional scaling: 22 batteries / 150 * 5 = 0.73, minimum 3 to maintain operational redundancy and avoid single-cabinet failure risk. Vary +-1 in sensitivity analysis.,,,
Cost per docking cabinet,3500,USD,TycBat:24,Cite [TycBat:24] - mid-range of $2500-$5000; state as assumption,,,,
PV system rated power,8550,Wp,Apech Africa,"37 kWp is used for structural comparability across operators in the base case; sensitivity analysis demonstrates that a more realistic 10–12 kWp assumption, supported by ZemPRE:24's implied cost figure, significantly improves 37 kWp is used for structural comparability across operators in the base case; sensitivity analysis demonstrates that a more realistic 10–12 kWp assumption, supported by ZemPRE:24's implied cost figure, significantly improves Zembo's metrics",,,,
PV installed cost,1.3,USD/Wp,IRENA:16 + IRENA:24,CONSERVATIVE UPPER BOUND - IRENA (2016) reported $1.30/Wp for utility-scale SSA [IRENA:16]. IRENA (2024) reports global utility-scale TIC fell to $0.69/Wp; SSA small-commercial (~37kWp) realistically $0.80-1.10/Wp in 2024 [IRENA:24]. Retaining $1.30/Wp as deliberate conservative assumption - lower bound $0.80/Wp tested in sensitivity analysis,,,,
ESS size,43,kWh,Derived,DERIVED (coincidentally close to previous NgeJunRod:24 value of 43 kWh). Correct derivation: 22 batteries x 2.52 kWh/battery x 0.80 depth of discharge = 44 kWh. Now properly justified rather than copied from supervisor paper. Vary +-50% in sensitivity analysis.,,,,
ESS cost,300,USD/kWh,GSLEne:26,Cite [GSLEne:26] - mid-range of published $280-580/kWh for commercial LFP,,,,
Battery inventory count,33,units,Stated assumptions,22*1.5 buffer ratio for extra battries derived,,,,
Installation overhead,0.2,fraction,Stated assumption,"State as assumption - 70% of equipment for omission,wiring,land securing anti theft panels and dust and heat mitigation",,,,
Annual OM rate,0.025,fraction of CAPEX,DomEle:26,Cite [DomEle:26] - industry standard 2.5% fixed O&M for BESS per year,,,,
Annual staff cost,2000,USD/year,Stated assumption,ASSUMPTION - 2 staff x $1,000/yr. Uganda formal minimum wage rarely enforced; informal sector $50-100/month realistic for Kampala. $1,000/yr ($83/month) is plausible. Sensitivity range: $1,600-3,200/yr. Cite as stated assumption.
Discount rate,0.1,fraction,CATF:24,Cite [CATF:25] - WACC for SSA renewable projects; 10% private sector rate,,,,
Project lifetime,20,years,Stated assumption,State as assumption - consistent with IEC and IEA solar PV lifetime standards,,,,
Panel degradation rate,0.005,fraction/year,Stated assumption,State as assumption - 0.5%/yr efficiency loss; standard monocrystalline value,,,,
Battery cycle life EFC,3000,,,,,,,
